InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"249","99","OH-507",1,1,10,10,,,,,,,10,1,2011-01-01,2020-02-13,2021-06-14 09:34:10,2021-08-08 13:05:09,"26",,"42412"
"250","99","OH-507",3,1,5,19,,,,,,,19,1,2016-10-01,2017-11-30,2021-06-14 09:34:10,2021-06-14 09:34:10,"5",,"42412"
"251","99","OH-507",3,1,4,19,,,,,,,19,1,2011-01-01,2016-09-30,2021-06-14 09:34:10,2021-06-14 09:34:10,"5",,"42412"
"252","99","OH-507",3,1,3,12,,,,,,,12,1,2020-02-14,,2021-06-14 09:34:10,2021-06-14 09:34:10,"5",,"42412"
"253","99","OH-507",1,1,16,16,,,,,,,16,1,2020-02-14,,2021-06-14 09:34:10,2021-08-08 13:05:16,"26",,"42412"
"254","99","OH-507",3,1,5,18,,,,,,,18,1,2017-12-01,2020-02-13,2021-06-14 09:34:10,2021-06-14 09:34:10,"5",,"42412"
"255","100","OH-507",1,,35,35,,,,,,,35,,2014-12-31,,2021-06-14 09:34:10,2022-01-27 12:51:07,"424",,"42412"
"256","100","OH-507",3,,3,8,,,,,,,8,,2014-12-31,,2021-06-14 09:34:11,2022-01-27 12:51:20,"424",,"42412"
"257","100","OH-507",1,,21,21,,,,,,,21,,2011-01-01,2014-12-30,2021-06-14 09:34:11,2021-07-09 03:05:05,"30",,"42412"
"258","100","OH-507",3,,2,5,,,,,,,5,,2011-01-01,2014-12-30,2021-06-14 09:34:11,2021-06-14 09:34:11,"5",,"42412"
"259","101","OH-507",1,1,3,3,,,,,,,3,1,2012-10-01,2023-05-01,2021-06-14 09:34:11,2024-03-14 12:29:34,"227",,"42412"
"260","101","OH-507",3,1,2,4,,,,,,,4,1,2012-10-01,2023-05-01,2021-06-14 09:34:11,2024-03-14 12:29:44,"227",,"42412"
"261","103","OH-507",3,,5,16,,,,,,,16,,2014-12-31,2023-09-30,2021-06-14 09:34:11,2024-04-08 14:00:13,"424",,"42412"
"262","103","OH-507",1,,37,37,,,,,,,37,,2011-01-01,2014-12-30,2021-06-14 09:34:11,2021-07-05 14:04:05,"26",,"42412"
"263","103","OH-507",1,,30,30,,,,,,,30,,2014-12-31,,2021-06-14 09:34:11,2022-01-27 13:04:46,"424",,"42412"
"264","104","OH-507",1,,15,15,,,,,,,15,,2017-04-01,2023-12-31,2021-06-14 09:34:11,2024-04-22 10:59:32,"27",,"42412"
"265","104","OH-507",1,,19,19,,,,,,,19,,2013-10-01,2015-12-31,2021-06-14 09:34:11,2021-07-12 11:51:52,"28",,"42412"
"266","104","OH-507",1,,51,51,,,,,,,51,,2016-10-01,2017-03-31,2021-06-14 09:34:11,2021-07-12 11:51:58,"28",,"42412"
"267","104","OH-507",3,,18,54,,,,,,,54,,2013-10-01,2015-12-31,2021-06-14 09:34:11,2021-06-14 09:34:11,"5",,"42412"
"268","104","OH-507",3,,18,54,,,,,,,54,,2016-01-01,2016-09-30,2021-06-14 09:34:11,2021-06-14 09:34:11,"5",,"42412"
"269","104","OH-507",3,,30,60,,,,,,,60,,2016-10-01,2017-03-31,2021-06-14 09:34:11,2021-06-14 09:34:11,"5",,"42412"
